"","CaseChannel","CaseDepartment","CaseID","Activity","Resource","CompleteTimestamp","Month","Weekday"
"181","Internet","General","case-10127","T02 Check confirmation of receipt","Resource06",2011-10-27 08:38:11.536,"10","4"
"182","Internet","General","case-10127","T04 Determine confirmation of receipt","Resource06",2011-10-27 08:38:39.137,"10","4"
"183","Internet","General","case-10127","T05 Print and send confirmation of receipt","Resource06",2011-10-27 08:39:02.93,"10","4"
"184","Internet","General","case-10127","T06 Determine necessity of stop advice","Resource06",2011-10-27 08:39:43.531,"10","4"
"185","Internet","General","case-10127","T10 Determine necessity to stop indication","Resource06",2011-10-27 08:40:03.485,"10","4"
"186","Internet","General","case-10134","Confirmation of receipt","Resource03",2011-10-26 15:04:21.84,"10","3"
"187","Internet","General","case-10134","T02 Check confirmation of receipt","Resource03",2011-10-26 15:04:43.045,"10","3"
"188","Internet","General","case-10134","T04 Determine confirmation of receipt","Resource03",2011-10-26 15:05:00.324,"10","3"
"189","Internet","General","case-10134","T05 Print and send confirmation of receipt","Resource03",2011-10-26 15:05:19.716,"10","3"
"190","Internet","General","case-10134","T06 Determine necessity of stop advice","Resource03",2011-10-26 15:05:34.867,"10","3"
"191","Internet","General","case-10134","T10 Determine necessity to stop indication","Resource03",2011-10-26 15:05:59.098,"10","3"
"192","Internet","General","case-10136","Confirmation of receipt","Resource03",2011-10-26 15:40:46.193,"10","3"
"193","Internet","General","case-10136","T06 Determine necessity of stop advice","Resource03",2011-10-26 15:41:05.144,"10","3"
"194","Internet","General","case-10136","T02 Check confirmation of receipt","Resource03",2011-10-26 15:41:23.359,"10","3"
"195","Internet","General","case-10136","T04 Determine confirmation of receipt","Resource03",2011-10-26 15:41:39.797,"10","3"
"196","Internet","General","case-10136","T05 Print and send confirmation of receipt","Resource03",2011-10-26 15:41:56.091,"10","3"
"197","Internet","General","case-10136","T10 Determine necessity to stop indication","Resource03",2011-10-26 15:42:22.465,"10","3"
"198","Internet","General","case-10138","Confirmation of receipt","Resource12",2011-12-08 14:52:51.432,"12","4"
"199","Internet","General","case-10138","T02 Check confirmation of receipt","Resource12",2011-12-08 14:53:26.952,"12","4"
"200","Internet","General","case-10138","T04 Determine confirmation of receipt","Resource12",2011-12-08 14:53:55.363,"12","4"
"201","Internet","General","case-10138","T06 Determine necessity of stop advice","Resource12",2011-12-08 14:55:00.037,"12","4"
"202","Internet","General","case-10138","T10 Determine necessity to stop indication","Resource12",2011-12-08 14:55:37.151,"12","4"
"203","Internet","General","case-10138","T05 Print and send confirmation of receipt","admin1",2011-12-14 13:36:32.274,"12","3"
"204","Internet","Customer contact","case-10139","Confirmation of receipt","admin2",2011-10-21 10:07:16.084,"10","5"
"205","Internet","General","case-10146","Confirmation of receipt","Resource03",2011-11-07 15:24:56.152,"11","1"
"206","Internet","General","case-10146","T02 Check confirmation of receipt","Resource03",2011-11-07 15:25:45.882,"11","1"
"207","Internet","General","case-10146","T04 Determine confirmation of receipt","Resource03",2011-11-16 12:05:43.389,"11","3"
"208","Internet","General","case-10146","T05 Print and send confirmation of receipt","Resource03",2011-11-16 12:06:16.314,"11","3"
"209","Internet","General","case-10146","T06 Determine necessity of stop advice","Resource03",2011-11-16 12:06:32.021,"11","3"
"210","Internet","General","case-10146","T10 Determine necessity to stop indication","Resource03",2011-11-16 12:07:02.208,"11","3"
"211","Internet","General","case-10147","Confirmation of receipt","Resource03",2011-10-26 16:07:55.282,"10","3"
"212","Internet","General","case-10147","T02 Check confirmation of receipt","Resource03",2011-10-26 16:10:03.859,"10","3"
"213","Internet","General","case-10147","T04 Determine confirmation of receipt","Resource03",2011-10-26 16:10:19.743,"10","3"
"214","Internet","General","case-10147","T05 Print and send confirmation of receipt","Resource03",2011-10-26 16:10:44.25,"10","3"
"215","Internet","General","case-10147","T06 Determine necessity of stop advice","Resource03",2011-10-26 16:10:58.544,"10","3"
"216","Internet","General","case-10147","T10 Determine necessity to stop indication","Resource03",2011-10-26 16:11:19.812,"10","3"
"217","Internet","General","case-10159","Confirmation of receipt","Resource03",2011-11-10 11:00:39.952,"11","4"
"218","Internet","General","case-10159","T02 Check confirmation of receipt","Resource03",2011-11-10 11:01:15.08,"11","4"
"219","Internet","General","case-10159","T04 Determine confirmation of receipt","Resource03",2011-11-10 11:02:07.499,"11","4"
"220","Internet","General","case-10159","T05 Print and send confirmation of receipt","Resource03",2011-11-10 11:02:24.015,"11","4"
"221","Internet","General","case-10159","T06 Determine necessity of stop advice","Resource03",2011-11-10 11:02:41.34,"11","4"
"222","Internet","General","case-10159","T10 Determine necessity to stop indication","Resource03",2011-11-10 11:03:55.84,"11","4"
"223","Internet","General","case-10160","Confirmation of receipt","Resource02",2011-10-25 15:20:00.343,"10","2"
"224","Internet","General","case-10160","T02 Check confirmation of receipt","Resource02",2011-10-25 15:21:08.384,"10","2"
"225","Internet","General","case-10160","T04 Determine confirmation of receipt","Resource02",2011-10-25 15:21:33.582,"10","2"
"226","Internet","General","case-10160","T05 Print and send confirmation of receipt","Resource02",2011-10-25 15:22:26.004,"10","2"
"227","Internet","General","case-10160","T06 Determine necessity of stop advice","Resource02",2011-10-25 15:24:25.818,"10","2"
"228","Internet","Customer contact","case-10163","Confirmation of receipt","admin2",2011-10-27 10:17:24.156,"10","4"
"229","Internet","General","case-10164","Confirmation of receipt","Resource01",2011-10-27 11:02:53.821,"10","4"
"230","Internet","General","case-10164","T02 Check confirmation of receipt","Resource32",2011-10-27 11:18:08.789,"10","4"
"231","Internet","General","case-10164","T06 Determine necessity of stop advice","admin2",2011-11-18 16:02:51.452,"11","5"
"232","Internet","General","case-10164","T04 Determine confirmation of receipt","admin2",2011-11-18 16:02:52.082,"11","5"
"233","Internet","General","case-10183","Confirmation of receipt","Resource09",2011-12-09 14:16:10.879,"12","5"
"234","Internet","General","case-10183","T02 Check confirmation of receipt","Resource09",2011-12-09 14:16:39.383,"12","5"
"235","Internet","General","case-10183","T04 Determine confirmation of receipt","Resource09",2011-12-09 14:17:02.175,"12","5"
"236","Internet","General","case-10183","T06 Determine necessity of stop advice","Resource09",2011-12-09 14:17:35.863,"12","5"
"237","Internet","General","case-10183","T10 Determine necessity to stop indication","Resource09",2011-12-09 14:24:28.994,"12","5"
"238","Internet","General","case-10183","T05 Print and send confirmation of receipt","Resource09",2011-12-09 14:30:04.403,"12","5"
"239","Internet","General","case-10194","Confirmation of receipt","admin2",2012-01-17 11:28:47.373,"1","2"
"240","Internet","General","case-10195","Confirmation of receipt","admin2",2012-01-17 11:29:39.271,"1","2"
"241","Internet","General","case-10196","Confirmation of receipt","Resource23",2011-11-07 08:53:41.967,"11","1"
"242","Internet","General","case-10196","T02 Check confirmation of receipt","Resource23",2011-11-07 08:59:27.936,"11","1"
"243","Internet","General","case-10196","T04 Determine confirmation of receipt","Resource23",2011-11-07 08:59:55.396,"11","1"
"244","Internet","General","case-10196","T05 Print and send confirmation of receipt","Resource23",2011-11-07 09:00:26.195,"11","1"
"245","Internet","General","case-10196","T06 Determine necessity of stop advice","Resource23",2011-11-07 09:03:53.415,"11","1"
"246","Internet","General","case-10196","T10 Determine necessity to stop indication","Resource23",2011-11-07 09:04:19.919,"11","1"
"247","Internet","General","case-10198","Confirmation of receipt","Resource03",2011-11-07 15:41:35.421,"11","1"
"248","Internet","General","case-10198","T06 Determine necessity of stop advice","Resource03",2011-11-07 15:42:00.65,"11","1"
"249","Internet","General","case-10198","T02 Check confirmation of receipt","Resource03",2011-11-07 15:42:25.734,"11","1"
"250","Internet","General","case-10198","T04 Determine confirmation of receipt","Resource03",2011-11-07 15:42:53.16,"11","1"
"251","Internet","General","case-10198","T05 Print and send confirmation of receipt","Resource03",2011-11-07 15:43:09.61,"11","1"
"252","Internet","General","case-10198","T10 Determine necessity to stop indication","Resource03",2011-11-07 15:43:33.3,"11","1"
"253","Desk","General","case-10199","Confirmation of receipt","Resource13",2011-10-31 12:27:03.433,"10","1"
"254","Desk","General","case-10199","T02 Check confirmation of receipt","Resource13",2011-10-31 12:27:59.136,"10","1"
"255","Desk","General","case-10199","T04 Determine confirmation of receipt","Resource13",2011-10-31 12:29:26.336,"10","1"
"256","Desk","General","case-10199","T05 Print and send confirmation of receipt","Resource13",2011-10-31 12:30:30.258,"10","1"
"257","Desk","General","case-10199","T06 Determine necessity of stop advice","Resource13",2011-10-31 12:30:58.868,"10","1"
